,num_reviews,year_released,orig_price,been_sale,rating_val,num_tags,num_genres,languages_filled,Devolver Digital,Disney,Electronic Arts,Nightdive Studios,Paradox Interactive,SEGA,Square Enix,THQ Nordic,Ubisoft,other
0,111078,2020.0,39.99,1,8.0,20.0,2.0,13.0,0,0,0,0,0,0,0,0,0,1
1,11813,2021.0,39.99,0,9.0,20.0,3.0,12.0,0,0,1,0,0,0,0,0,0,0
2,216651,2021.0,19.99,0,9.0,20.0,6.0,12.0,0,0,0,0,0,0,0,0,0,1
3,45704,2020.0,49.99,1,7.0,20.0,3.0,20.0,0,0,0,0,0,0,0,0,0,1
4,256136,2020.0,13.99,0,9.0,20.0,0.0,25.0,0,0,0,0,0,0,0,0,0,1
5,23944,2021.0,59.99,1,7.0,20.0,1.0,16.0,0,0,0,0,0,0,0,0,0,1
6,598684,2018.0,39.99,0,8.0,20.0,5.0,25.0,0,0,0,0,0,0,0,0,0,1
7,38064,2020.0,59.99,0,8.0,20.0,5.0,7.0,0,0,0,0,0,0,0,0,0,1
8,8397,2014.0,34.99,1,8.0,20.0,1.0,10.0,0,0,0,0,0,0,0,0,0,1
9,73464,2019.0,19.99,1,8.0,20.0,4.0,14.0,0,0,0,0,0,0,0,0,0,1
10,74220,2019.0,29.99,1,8.0,20.0,2.0,13.0,0,0,0,0,0,0,0,0,0,1
11,87734,2019.0,39.99,0,8.0,20.0,1.0,11.0,0,0,0,0,0,0,0,0,0,1
12,446261,2016.0,19.99,1,8.0,20.0,1.0,17.0,0,0,0,0,0,0,0,0,0,1
13,148259,2020.0,24.99,0,9.0,20.0,2.0,11.0,0,0,0,0,0,0,0,0,0,1
14,235,2021.0,14.99,1,8.0,20.0,3.0,12.0,0,0,0,0,0,0,0,0,0,1
15,37643,2020.0,14.99,0,8.0,20.0,4.0,9.0,0,0,0,0,0,0,0,0,0,1
16,60517,2015.0,39.99,1,8.0,20.0,4.0,10.0,0,0,0,0,0,0,0,0,0,1
17,346111,2016.0,14.99,0,9.0,20.0,3.0,12.0,0,0,0,0,0,0,0,0,0,1
18,7953,2018.0,59.99,1,7.0,20.0,3.0,9.0,0,0,0,0,0,0,0,0,0,1
19,407256,2020.0,59.99,0,7.0,20.0,1.0,18.0,0,0,0,0,0,0,0,0,0,1
20,174885,2019.0,59.99,0,8.0,20.0,3.0,13.0,0,0,0,0,0,0,0,0,0,1
21,9324,2020.0,59.99,1,8.0,20.0,3.0,8.0,0,0,0,0,0,0,0,0,0,1
22,260518,2018.0,19.99,0,8.0,20.0,0.0,16.0,0,0,0,0,0,0,0,0,0,1
